checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,credit-risk,sex,marital_status,age_cat
no checking,6,critical/other existing credit,furniture/equipment,1221,no known savings,1<=X<4,1,none,2,life insurance,27,none,own,2,skilled,1,none,yes,good,male,mar/wid,aged
no checking,4,critical/other existing credit,radio/tv,1544,<100,4<=X<7,2,none,1,real estate,42,none,own,3,unskilled resident,2,none,yes,good,male,single,aged
0<=X<200,12,existing paid,radio/tv,625,<100,<1,4,guarantor,1,real estate,26,bank,own,1,unskilled resident,1,none,yes,good,male,mar/wid,aged
0<=X<200,12,existing paid,new car,2002,<100,4<=X<7,3,none,4,life insurance,30,none,rent,1,skilled,2,yes,yes,good,male,single,aged
<0,24,existing paid,new car,3123,<100,<1,4,none,1,life insurance,27,none,own,1,skilled,1,none,yes,bad,female,div/sep,aged
no checking,15,existing paid,furniture/equipment,2708,<100,<1,2,none,3,life insurance,27,bank,own,2,unskilled resident,1,none,yes,good,male,single,aged
no checking,12,critical/other existing credit,education,3565,no known savings,<1,2,none,1,life insurance,37,none,own,2,unskilled resident,2,none,yes,good,male,single,aged
>=200,12,critical/other existing credit,new car,1480,500<=X<1000,unemployed,2,none,4,no known property,66,bank,for free,3,unemp/unskilled non res,1,none,yes,good,male,single,aged
no checking,15,critical/other existing credit,radio/tv,1360,<100,1<=X<4,4,none,2,life insurance,31,none,own,2,skilled,1,none,yes,good,male,single,aged
0<=X<200,12,existing paid,radio/tv,1158,500<=X<1000,1<=X<4,3,none,1,car,26,none,own,1,skilled,1,yes,yes,good,male,div/sep,aged
0<=X<200,12,existing paid,radio/tv,1103,<100,4<=X<7,4,guarantor,3,real estate,29,none,own,2,skilled,1,none,no,good,male,single,aged
<0,24,existing paid,furniture/equipment,7721,no known savings,<1,1,none,2,life insurance,30,none,own,1,skilled,1,yes,no,good,female,div/sep,aged
<0,18,existing paid,domestic appliance,1217,<100,1<=X<4,4,none,3,real estate,47,none,own,1,unskilled resident,1,yes,yes,bad,male,mar/wid,aged
0<=X<200,12,existing paid,radio/tv,6468,no known savings,unemployed,2,none,1,no known property,52,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad,male,single,aged
0<=X<200,24,existing paid,radio/tv,2039,<100,<1,1,none,1,life insurance,22,none,own,1,skilled,1,yes,yes,bad,male,mar/wid,young
0<=X<200,20,delayed previously,other,2629,<100,1<=X<4,2,none,3,car,29,bank,own,2,skilled,1,yes,yes,good,male,single,aged
>=200,15,critical/other existing credit,radio/tv,1271,no known savings,1<=X<4,3,none,4,no known property,39,none,for free,2,skilled,1,yes,yes,bad,male,single,aged
no checking,12,existing paid,radio/tv,804,<100,>=7,4,none,4,car,38,none,own,1,skilled,1,none,yes,good,male,single,aged
no checking,10,critical/other existing credit,furniture/equipment,2069,no known savings,1<=X<4,2,none,1,car,26,none,own,2,skilled,1,none,no,good,male,mar/wid,aged
no checking,48,delayed previously,radio/tv,7238,no known savings,>=7,3,none,3,car,32,bank,own,2,skilled,2,none,yes,good,male,single,aged
>=200,18,existing paid,furniture/equipment,3049,<100,<1,1,none,1,life insurance,45,stores,own,1,unskilled resident,1,none,yes,good,female,div/sep,aged
0<=X<200,15,existing paid,new car,2631,100<=X<500,1<=X<4,2,none,4,car,28,none,rent,2,skilled,1,yes,yes,bad,female,div/sep,aged
0<=X<200,30,existing paid,furniture/equipment,3441,100<=X<500,1<=X<4,2,co applicant,4,car,21,none,rent,1,skilled,1,none,yes,bad,female,div/sep,young
no checking,24,existing paid,radio/tv,2284,<100,4<=X<7,4,none,2,car,28,none,own,1,skilled,1,yes,yes,good,male,single,aged
<0,18,critical/other existing credit,furniture/equipment,1049,<100,<1,4,none,4,life insurance,21,none,rent,1,skilled,1,none,yes,good,female,div/sep,young
<0,24,existing paid,furniture/equipment,4169,<100,1<=X<4,4,none,4,life insurance,28,none,own,1,skilled,1,none,yes,good,male,single,aged
0<=X<200,27,delayed previously,used car,5965,<100,>=7,1,none,2,car,30,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good,male,single,aged
0<=X<200,15,all paid,new car,6850,100<=X<500,unemployed,1,none,2,life insurance,34,none,own,1,high qualif/self emp/mgmt,2,yes,yes,bad,male,single,aged
<0,6,critical/other existing credit,new car,1361,<100,<1,2,none,4,real estate,40,none,own,1,unskilled resident,2,none,no,good,male,single,aged
no checking,18,critical/other existing credit,furniture/equipment,1817,<100,1<=X<4,4,none,2,no known property,28,none,own,2,skilled,1,none,yes,good,female,div/sep,aged
no checking,24,critical/other existing credit,new car,1940,>=1000,>=7,4,none,4,real estate,60,none,own,1,skilled,1,yes,yes,good,male,single,aged
no checking,10,critical/other existing credit,new car,1231,<100,>=7,3,none,4,real estate,32,none,own,2,unskilled resident,2,none,no,good,male,single,aged
no checking,6,critical/other existing credit,radio/tv,1554,<100,4<=X<7,1,none,2,car,24,none,rent,2,skilled,1,yes,yes,good,female,div/sep,young
no checking,18,critical/other existing credit,radio/tv,629,500<=X<1000,>=7,4,none,3,life insurance,32,bank,own,2,high qualif/self emp/mgmt,1,yes,yes,good,male,single,aged
no checking,15,delayed previously,radio/tv,1478,<100,1<=X<4,4,none,3,real estate,33,bank,own,2,skilled,1,none,yes,good,male,mar/wid,aged
<0,45,no credits/all paid,business,11816,<100,>=7,2,none,4,car,29,none,rent,2,skilled,1,none,yes,bad,male,single,aged
<0,6,existing paid,new car,1203,100<=X<500,>=7,3,none,2,life insurance,43,none,own,1,skilled,1,yes,yes,good,male,single,aged
0<=X<200,7,existing paid,radio/tv,2576,<100,1<=X<4,2,guarantor,2,real estate,35,none,own,1,skilled,1,none,yes,good,male,single,aged
0<=X<200,24,existing paid,used car,12579,<100,>=7,4,none,2,no known property,44,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad,female,div/sep,aged
no checking,30,critical/other existing credit,used car,7596,no known savings,>=7,1,none,4,car,63,none,own,2,skilled,1,none,yes,good,male,single,aged
no checking,15,delayed previously,furniture/equipment,960,>=1000,4<=X<7,3,none,2,life insurance,30,none,own,2,skilled,1,none,yes,good,female,div/sep,aged
0<=X<200,48,existing paid,radio/tv,3979,no known savings,4<=X<7,4,none,1,car,41,none,own,2,skilled,2,yes,yes,good,male,single,aged
no checking,24,critical/other existing credit,repairs,2058,<100,1<=X<4,4,none,2,real estate,33,none,own,2,skilled,1,yes,yes,good,male,div/sep,aged
<0,18,existing paid,furniture/equipment,3650,<100,<1,1,none,4,car,22,none,rent,1,skilled,1,none,yes,good,female,div/sep,young
<0,24,existing paid,other,1755,<100,>=7,4,guarantor,4,real estate,58,none,own,1,unskilled resident,1,yes,yes,good,female,div/sep,aged
0<=X<200,15,critical/other existing credit,radio/tv,1537,no known savings,>=7,4,guarantor,4,real estate,50,none,own,2,skilled,1,yes,yes,good,male,single,aged
no checking,12,existing paid,radio/tv,1493,<100,<1,4,none,3,car,34,none,own,1,skilled,2,none,yes,good,female,div/sep,aged
0<=X<200,48,all paid,new car,12169,no known savings,unemployed,4,co applicant,4,no known property,36,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good,male,single,aged
<0,47,existing paid,new car,10722,<100,<1,1,none,1,real estate,35,none,own,1,unskilled resident,1,yes,yes,good,female,div/sep,aged
0<=X<200,18,existing paid,education,1239,no known savings,1<=X<4,4,none,4,no known property,61,none,for free,1,skilled,1,none,yes,good,male,single,aged
no checking,10,existing paid,education,727,500<=X<1000,>=7,4,none,4,no known property,46,none,for free,1,skilled,1,yes,yes,good,male,single,aged
<0,11,critical/other existing credit,new car,3905,<100,1<=X<4,2,none,2,real estate,36,none,rent,2,skilled,2,none,yes,good,male,single,aged
no checking,6,existing paid,furniture/equipment,4611,<100,<1,1,none,4,life insurance,32,none,own,1,skilled,1,none,yes,bad,female,div/sep,aged
0<=X<200,12,existing paid,radio/tv,1567,<100,1<=X<4,1,none,1,car,22,none,own,1,skilled,1,yes,yes,good,female,div/sep,young
<0,21,all paid,new car,1647,no known savings,1<=X<4,4,none,2,life insurance,40,none,own,2,unskilled resident,2,none,yes,bad,male,single,aged
<0,36,existing paid,furniture/equipment,3446,<100,>=7,4,none,2,car,42,none,own,1,skilled,2,none,yes,bad,male,single,aged
no checking,24,existing paid,used car,9277,no known savings,1<=X<4,2,none,4,no known property,48,none,for free,1,skilled,1,yes,yes,good,male,div/sep,aged
0<=X<200,48,no credits/all paid,business,12204,no known savings,1<=X<4,2,none,2,car,48,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,good,male,single,aged
no checking,24,delayed previously,business,2978,no known savings,1<=X<4,4,none,4,real estate,32,none,own,2,skilled,2,yes,yes,good,male,single,aged
no checking,24,existing paid,used car,5433,no known savings,unemployed,2,none,4,life insurance,26,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good,female,div/sep,aged
0<=X<200,15,existing paid,repairs,1514,100<=X<500,1<=X<4,4,guarantor,2,real estate,22,none,own,1,skilled,1,none,yes,good,male,single,young
0<=X<200,36,delayed previously,new car,8086,100<=X<500,>=7,2,none,4,car,42,none,own,4,high qualif/self emp/mgmt,1,yes,yes,bad,male,single,aged
<0,24,delayed previously,new car,1333,<100,unemployed,4,none,2,real estate,43,none,for free,2,skilled,2,none,yes,bad,male,single,aged
no checking,9,existing paid,furniture/equipment,1388,<100,1<=X<4,4,none,2,real estate,26,none,rent,1,skilled,1,none,yes,good,female,div/sep,aged
no checking,9,existing paid,furniture/equipment,1980,<100,<1,2,co applicant,2,car,19,none,rent,2,skilled,1,none,yes,bad,female,div/sep,young
<0,12,existing paid,furniture/equipment,2577,<100,1<=X<4,2,none,1,car,42,none,own,1,skilled,1,none,yes,good,male,div/sep,aged
no checking,24,critical/other existing credit,other,6314,<100,unemployed,4,co applicant,2,no known property,27,bank,own,2,high qualif/self emp/mgmt,1,yes,yes,good,male,single,aged
no checking,6,critical/other existing credit,new car,2080,500<=X<1000,1<=X<4,1,none,2,car,24,none,own,1,skilled,1,none,yes,good,male,mar/wid,young
<0,18,existing paid,furniture/equipment,2039,<100,1<=X<4,1,none,4,real estate,20,bank,rent,1,skilled,1,none,yes,bad,female,div/sep,young
no checking,15,existing paid,domestic appliance,874,no known savings,<1,4,none,1,real estate,24,none,own,1,skilled,1,none,yes,good,female,div/sep,young
<0,6,critical/other existing credit,radio/tv,1957,<100,4<=X<7,1,none,4,car,31,none,own,1,skilled,1,none,yes,good,female,div/sep,aged
0<=X<200,10,existing paid,new car,7308,<100,unemployed,2,none,4,no known property,70,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes,good,male,single,aged
>=200,24,existing paid,furniture/equipment,1925,<100,1<=X<4,2,none,2,real estate,26,none,own,1,skilled,1,none,yes,good,male,single,aged
0<=X<200,24,existing paid,new car,1355,<100,<1,3,none,4,car,25,none,own,1,unskilled resident,1,yes,yes,bad,female,div/sep,aged
<0,12,existing paid,education,795,<100,<1,4,none,4,life insurance,53,none,own,1,skilled,1,none,yes,bad,female,div/sep,aged
>=200,30,critical/other existing credit,radio/tv,3017,<100,>=7,4,none,4,life insurance,47,none,own,1,skilled,1,none,yes,good,male,single,aged
<0,48,all paid,business,7685,<100,4<=X<7,2,guarantor,4,car,37,none,rent,1,skilled,1,none,yes,bad,female,div/sep,aged
no checking,12,critical/other existing credit,business,2292,<100,unemployed,4,none,2,car,42,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,bad,male,single,aged
<0,36,existing paid,education,1977,no known savings,>=7,4,none,4,no known property,40,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad,male,single,aged
no checking,36,critical/other existing credit,new car,7855,<100,1<=X<4,4,none,2,real estate,25,stores,own,2,skilled,1,yes,yes,bad,female,div/sep,aged
no checking,18,critical/other existing credit,new car,2775,<100,4<=X<7,2,none,2,life insurance,31,bank,own,2,skilled,1,none,yes,bad,male,single,aged
0<=X<200,21,delayed previously,new car,2353,<100,1<=X<4,1,none,4,life insurance,47,none,own,2,skilled,1,none,yes,good,male,div/sep,aged
no checking,18,existing paid,new car,1820,<100,1<=X<4,2,none,2,life insurance,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,male,mar/wid,aged
no checking,12,existing paid,used car,2445,no known savings,<1,2,none,4,car,26,none,rent,1,skilled,1,yes,yes,good,male,mar/wid,aged
<0,12,existing paid,radio/tv,1680,500<=X<1000,>=7,3,none,1,real estate,35,none,own,1,skilled,1,none,yes,good,male,mar/wid,aged
<0,18,delayed previously,education,8471,no known savings,1<=X<4,1,none,2,car,23,none,rent,2,skilled,1,yes,yes,good,female,div/sep,young
0<=X<200,26,existing paid,used car,7966,<100,<1,2,none,3,car,30,none,own,2,skilled,1,none,yes,good,male,single,aged
<0,12,existing paid,used car,3386,<100,>=7,3,none,4,no known property,35,none,for free,1,skilled,1,yes,yes,bad,male,single,aged
>=200,12,critical/other existing credit,new car,939,500<=X<1000,4<=X<7,4,none,2,real estate,28,none,own,3,skilled,1,yes,yes,bad,male,mar/wid,aged
no checking,12,critical/other existing credit,radio/tv,797,no known savings,>=7,4,none,3,life insurance,33,bank,own,1,unskilled resident,2,none,yes,bad,female,div/sep,aged
<0,24,existing paid,furniture/equipment,1747,<100,<1,4,co applicant,1,life insurance,24,none,own,1,unskilled resident,1,none,no,good,male,single,young
<0,12,no credits/all paid,repairs,1108,<100,4<=X<7,4,none,3,real estate,28,none,own,2,skilled,1,none,yes,bad,male,single,aged
0<=X<200,13,existing paid,radio/tv,2101,<100,<1,2,guarantor,4,life insurance,23,none,own,1,unskilled resident,1,none,yes,good,female,div/sep,young
<0,24,existing paid,used car,6579,<100,unemployed,4,none,2,no known property,29,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good,male,single,aged
no checking,48,delayed previously,radio/tv,12749,500<=X<1000,4<=X<7,4,none,1,car,37,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,male,single,aged
no checking,12,critical/other existing credit,radio/tv,522,500<=X<1000,>=7,4,none,4,life insurance,42,none,own,2,skilled,2,yes,yes,good,male,single,aged
<0,24,all paid,furniture/equipment,2828,500<=X<1000,1<=X<4,4,none,4,real estate,22,stores,own,1,skilled,1,yes,yes,good,male,single,young
0<=X<200,24,existing paid,new car,2718,<100,1<=X<4,3,none,4,life insurance,20,none,rent,1,unskilled resident,1,yes,yes,bad,female,div/sep,young
>=200,10,existing paid,new car,1240,100<=X<500,>=7,1,none,4,no known property,48,none,for free,1,unskilled resident,2,none,yes,bad,female,div/sep,aged
0<=X<200,12,existing paid,new car,1318,>=1000,>=7,4,none,4,real estate,54,none,own,1,skilled,1,yes,yes,good,male,single,aged
<0,48,existing paid,business,4308,<100,<1,3,none,4,life insurance,24,none,rent,1,skilled,1,none,yes,bad,female,div/sep,young
<0,12,existing paid,furniture/equipment,2578,<100,unemployed,3,none,4,no known property,55,none,for free,1,high qualif/self emp/mgmt,1,none,yes,good,female,div/sep,aged
no checking,24,existing paid,radio/tv,1311,100<=X<500,4<=X<7,4,none,3,life insurance,26,none,own,1,skilled,1,yes,yes,good,male,mar/wid,aged
<0,30,critical/other existing credit,used car,6187,100<=X<500,4<=X<7,1,none,4,car,24,none,rent,2,skilled,1,none,yes,good,male,mar/wid,young
0<=X<200,18,delayed previously,repairs,6204,<100,1<=X<4,2,none,4,real estate,44,none,own,1,unskilled resident,2,yes,yes,good,male,single,aged
0<=X<200,6,existing paid,radio/tv,1068,<100,>=7,4,none,4,car,28,none,own,1,skilled,2,none,yes,good,male,single,aged
0<=X<200,11,existing paid,furniture/equipment,1577,>=1000,<1,4,none,1,real estate,20,none,own,1,skilled,1,none,yes,good,female,div/sep,young
no checking,24,critical/other existing credit,furniture/equipment,1585,<100,4<=X<7,4,none,3,life insurance,40,none,own,2,skilled,1,none,yes,good,male,single,aged
<0,18,all paid,radio/tv,1940,<100,<1,3,co applicant,4,no known property,36,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes,good,male,single,aged
0<=X<200,24,no credits/all paid,business,4241,<100,1<=X<4,1,none,4,real estate,36,none,own,3,unskilled resident,1,yes,yes,bad,male,single,aged
>=200,6,critical/other existing credit,new car,1299,<100,1<=X<4,1,none,1,real estate,74,none,own,3,unemp/unskilled non res,2,none,no,good,male,single,aged
no checking,24,existing paid,new car,1469,100<=X<500,>=7,4,none,4,real estate,41,none,rent,1,unskilled resident,1,none,yes,good,male,mar/wid,aged
no checking,28,critical/other existing credit,radio/tv,2743,<100,>=7,4,none,2,car,29,none,own,2,skilled,1,none,yes,good,male,single,aged
no checking,12,existing paid,radio/tv,1963,<100,4<=X<7,4,none,2,car,31,none,rent,2,high qualif/self emp/mgmt,2,yes,yes,good,male,single,aged
0<=X<200,48,critical/other existing credit,furniture/equipment,5096,<100,1<=X<4,2,none,3,car,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad,female,div/sep,aged
<0,12,existing paid,new car,2579,<100,<1,4,none,1,real estate,33,none,own,1,unskilled resident,2,none,yes,bad,male,single,aged
no checking,36,delayed previously,furniture/equipment,7678,500<=X<1000,4<=X<7,2,none,4,car,40,none,own,2,skilled,1,yes,yes,good,female,div/sep,aged
0<=X<200,30,critical/other existing credit,new car,2181,no known savings,>=7,4,none,4,real estate,36,none,own,2,skilled,1,none,yes,good,male,single,aged
